Tytuł wpisu,Data wpisu,Dział,ID wpisu,Kategoria,Klaster tematyczny,Oddział,Ostatnia analiza,Parafraza,Sentyment,Status,Sugerowany proces,Słowa kluczowe,Treść
Pomysł na rotację między działami,"March 17, 2026 4:07 PM",Sprzedaż,SUG-4,Pomysł,,Gliwice,"March 17, 2026 4:07 PM",Propozycja programu rotacji międzydziałowej (1 dzień/miesiąc) w celu lepszego zrozumienia procesów firmy.,Pozytywny,Not started,Proces rozwoju pracowników → program shadow / rotacja,,"Myślę, że fajnym pomysłem byłoby umożliwienie pracownikom spędzenia jednego dnia w miesiącu w innym dziale. Pozwoliłoby to lepiej zrozumieć jak działa firma i poprawić współpracę między zespołami."
Klienci chwalą nowy system rezerwacji,"March 17, 2026 4:07 PM",Handlowy,SUG-6,Inne,,Tarnowskie Góry,"March 17, 2026 4:07 PM",Pozytywny feedback od klientów nt. nowego systemu rezerwacji. Sugestia komunikacji sukcesu wewnątrz firmy.,Pozytywny,Not started,Proces komunikacji wewnętrznej → feedback loop od klientów do zespołów,,"Od kiedy wdrożyliśmy nowy system rezerwacji online, klienci regularnie chwalą łatwość obsługi. Warto to komunikować wewnętrznie — zespół, który to budował, powinien wiedzieć, że ich praca ma efekt."
Zbyt długi obieg akceptacji zamówień,"March 17, 2026 4:07 PM",Magazyn,SUG-5,Problem,,Oświęcim,"March 17, 2026 4:07 PM",Proces akceptacji zamówień materiałowych zbyt powolny (4 etapy). Sugestia uproszczenia dla niskich kwot.,Negatywny,Not started,Proces zamówień materiałowych → uproszczenie ścieżki akceptacji dla kwot < 500 zł,,"Zamówienie materiałów musi przejść przez 4 osoby zanim zostanie zatwierdzone. Czasem czekamy tydzień na podpis jednej osoby, bo jest na urlopie. Przy małych kwotach (do 500 zł) mogłoby to iść szybciej."
Brak jednego miejsca na procedury,"March 17, 2026 4:07 PM",HR,SUG-3,Usprawnienie,,Sosnowiec,"March 17, 2026 4:07 PM",Procedury rozproszone w wielu miejscach. Brak centralnej bazy wiedzy utrudnia onboarding nowych pracowników.,Negatywny,Not started,Proces onboardingu + zarządzanie wiedzą firmową → baza wiedzy / wiki,,"Procedury firmowe są rozrzucone — część na dysku, część w mailach, część w głowach ludzi. Nowi pracownicy nie wiedzą gdzie szukać i pytają wszystkich dookoła. Przydałaby się jedna baza wiedzy."
Ręczne przepisywanie danych z faktur,"March 17, 2026 4:07 PM",Księgowość,SUG-2,Problem,,Katowice,"March 17, 2026 4:07 PM",Pracownik zgłasza wielogodzinne ręczne przepisywanie faktur do systemu. Sugeruje automatyzację przez OCR.,Negatywny,Not started,Proces obsługi faktur przychodzących → kandydat do OCR + automatycznego wprowadzania,,"Co tydzień spędzam kilka godzin na ręcznym przepisywaniu danych z faktur papierowych do systemu. To powtarzalna czynność, którą łatwo byłoby zautomatyzować — np. skanem OCR. Tracę na to czas, który mógłbym poświęcić na analizę danych."
Raport dzienny wysyłany ręcznie mailem,"March 18, 2026 11:43 AM",Księgowość,SUG-16,Problem,,Tarnowskie Góry,"March 18, 2026 11:43 AM",Codzienne ręczne generowanie raportu z systemu do Excela (30-40 min). Kandydat do automatyzacji.,Negatywny,Not started,Raportowanie codzienne → automatyczny eksport + dystrybucja e-mail,,"Codziennie rano ręcznie kopiuję dane z systemu do Excela, robię podsumowanie i wysyłam mailem. Trwa to 30-40 minut. Powinno to iść automatycznie."
Pomysł na tablicę ogłoszeń online,"March 18, 2026 11:43 AM",Sekretariat,SUG-17,Pomysł,,Chrzanów,"March 18, 2026 11:43 AM",Sugestia stworzenia wewnętrznej tablicy ogłoszeń online. Informacje firmowe giną w e-mailach.,Pozytywny,Not started,Komunikacja wewnętrzna → centralna platforma ogłoszeń,,"Nie mamy jednego miejsca na ogłoszenia firmowe. Informacje giną w mailach. Przydałaby się prosta tablica online, gdzie każdy oddział widzi co się dzieje w firmie."
System ERP zawiesza się w godzinach szczytu,"March 18, 2026 11:43 AM",Sprzedaż,SUG-11,Problem,,Sosnowiec,"March 18, 2026 11:43 AM","Regularne zawieszanie systemu ERP w godzinach porannych. Blokuje wystawianie dokumentów, wpływa na obsługę klienta.",Negatywny,Not started,"Infrastruktura IT → monitoring wydajności ERP, analiza bottlenecków",,"Między 9 a 11 system potrafi się zawieszać na kilka minut. Wtedy nie możemy wystawiać dokumentów. Klienci czekają, my się stresujemy. Dzieje się to regularnie od co najmniej dwóch miesięcy."
Reklamacje obsługiwane zbyt wolno,"March 18, 2026 11:43 AM",Handlowy,SUG-15,Problem,,Dąbrowa Górnicza,"March 18, 2026 11:43 AM","Proces reklamacji trwa ~3 tygodnie. Zbyt wiele etapów przekazywania, brak automatyzacji.",Negatywny,Not started,"Proces obsługi reklamacji → skrócenie ścieżki, system ticketów",,"Proces reklamacji trwa u nas średnio 3 tygodnie. Klient dzwoni, my notujemy, potem przekazujemy do kierownika, kierownik do działu, dział analizuje, wraca odpowiedź... Za dużo etapów, za dużo czekania."
Świetna atmosfera w zespole magazynu,"March 18, 2026 11:43 AM",Magazyn,SUG-14,Inne,,Oświęcim,"March 18, 2026 11:43 AM",Pozytywna opinia o atmosferze i zarządzaniu w zespole magazynowym.,Pozytywny,Not started,"Komunikacja wewnętrzna → feedback loop pozytywny, program doceniania",,Chciałem napisać coś pozytywnego — nasz zespół magazynowy naprawdę dobrze ze sobą współpracuje. Kierownik potrafi słuchać i rozwiązywać problemy na bieżąco. Warto to docenić.
Podwójne wpisywanie danych do ERP i Excela,"March 18, 2026 11:43 AM",Handlowy,SUG-10,Problem,,Katowice,"March 18, 2026 11:43 AM","Podwójne wprowadzanie zamówień do ERP i Excela. Godzina dziennie traconego czasu, ryzyko błędów.",Negatywny,Not started,Proces składania zamówień → automatyczna synchronizacja ERP↔Excel,,"Za każdym razem gdy wprowadzam zamówienie, muszę wpisać te same dane do systemu ERP a potem do arkusza Excel dla kierownika. To podwójna praca, łatwo o błąd, i zajmuje mi codziennie co najmniej godzinę."
Brak standaryzacji ofert handlowych,"March 18, 2026 11:43 AM",Handlowy,SUG-12,Usprawnienie,,Gliwice,"March 18, 2026 11:43 AM",Brak jednolitego szablonu ofert handlowych między oddziałami. Klient otrzymuje niespójne materiały.,Negatywny,Not started,"Proces przygotowania ofert → standaryzacja szablonów, centralne repozytorium",,"Każdy handlowiec robi oferty po swojemu — inny format, inne dane, inny wygląd. Klient dostaje coś innego z Katowic i co innego z Gliwic. Powinniśmy mieć jeden szablon."
Aplikacja mobilna do zamówień dla klientów,"March 18, 2026 11:43 AM",Sprzedaż,SUG-13,Pomysł,,Katowice,"March 18, 2026 11:43 AM",Propozycja portalu/aplikacji dla klientów do samodzielnego składania zamówień. Redukcja ręcznej pracy.,Pozytywny,Not started,"Proces przyjmowania zamówień → self-service klienta, integracja z ERP",,"Nasi stali klienci dzwonią żeby złożyć zamówienie, które potem i tak musimy ręcznie wprowadzić. Gdyby mieli prostą aplikację lub stronę do składania zamówień, zaoszczędzilibyśmy mnóstwo czasu."
Dobre praktyki z Gliwic warto przenieść do innych oddziałów,"March 18, 2026 11:44 AM",Operacyjny,SUG-21,Pomysł,,Gliwice,"March 18, 2026 11:44 AM",Codzienne standupy w Gliwicach dają dobre efekty. Propozycja wdrożenia w pozostałych oddziałach.,Pozytywny,Not started,Zarządzanie operacyjne → standaryzacja dobrych praktyk międzyoddziałowo,,"W Gliwicach wprowadzili codzienne 10-minutowe standupy na magazynie i działa świetnie — mniej błędów, lepsza koordynacja. Może warto to przenieść do pozostałych oddziałów?"
Spotkania online zamiast dojazdów międzyoddziałowych,"March 18, 2026 11:44 AM",Operacyjny,SUG-25,Usprawnienie,,Chrzanów,"March 18, 2026 11:44 AM",Część spotkań międzyoddziałowych można zastąpić wideokonferencjami. Oszczędność czasu i kosztów.,Neutralny,Not started,Komunikacja międzyoddziałowa → polityka hybrid remote/on-site,,"Niektóre spotkania wymagają dojazdu do innego oddziału — godzina w jedną stronę, godzina w drugą. Część z nich świetnie działałaby jako wideokonferencja. Zaoszczędzimy czas i paliwo."
Konstrukcje stalowe — brak aktualnych rysunków,"March 18, 2026 11:44 AM",Segment Konstrukcji,SUG-27,Problem,,Sosnowiec,"March 18, 2026 11:44 AM",Produkcja pracuje ze starymi rysunkami. Brak systemu dystrybucji aktualnych wersji dokumentów technicznych.,Negatywny,Not started,"Zarządzanie dokumentacją techniczną → wersjonowanie, automatyczna dystrybucja",,"Na produkcji często pracujemy ze starymi wersjami rysunków. Biuro techniczne aktualizuje, ale my nie zawsze dostajemy nową wersję. Raz zrobiliśmy element wg starego rysunku i trzeba było poprawiać."
Brak dostępu do cenników z terenu,"March 18, 2026 11:44 AM",Handlowy,SUG-22,Problem,,Dąbrowa Górnicza,"March 18, 2026 11:44 AM",Handlowcy terenowi bez dostępu mobilnego do cenników. Wydłuża proces sprzedaży.,Negatywny,Not started,Proces sprzedaży terenowej → mobilny dostęp do cenników i ofert,,Handlowcy w terenie nie mają dostępu do aktualnych cenników na telefonie. Muszą dzwonić do biura żeby potwierdzić cenę. To wydłuża spotkania z klientami i wygląda nieprofesjonalnie.
Niepotrzebne drukowanie dokumentów WZ,"March 18, 2026 11:44 AM",Magazyn,SUG-20,Problem,,Oświęcim,"March 18, 2026 11:44 AM",Nadmierne drukowanie dokumentów magazynowych. Propozycja przejścia na podpis elektroniczny i archiwum cyfrowe.,Negatywny,Not started,"Obieg dokumentów magazynowych → digitalizacja, e-podpis",,"Drukujemy setki dokumentów WZ które potem lądują w szufladzie. Wystarczyłby podpis elektroniczny i archiwum cyfrowe. Toner, papier, czas — to się sumuje."
Warto docenić ekipę z Supermarketu Dobromir,"March 18, 2026 11:44 AM",,SUG-28,Inne,,Supermarket Dobromir,"March 18, 2026 11:44 AM",Pozytywne opinie klientów o zespole Supermarketu Dobromir. Sugestia docenienia przez zarząd.,Pozytywny,Not started,"Komunikacja wewnętrzna → program doceniania, nagrody kwartalne",,Zespół w Dobromitrze robi niesamowitą robotę przy obsłudze klienta. Słyszałem same pozytywne opinie. Fajnie by było gdyby zarząd to zauważył — motywacja działa w obie strony.
Szkolenia BHP tylko papierowe,"March 18, 2026 11:44 AM",HR,SUG-18,Usprawnienie,,Sosnowiec,"March 18, 2026 11:44 AM",Szkolenia BHP w formie papierowej — sugestia przejścia na e-learning. Lepsza kontrola terminów.,Negatywny,Not started,"Proces szkoleń BHP → digitalizacja, platforma e-learningowa",,"Szkolenia BHP robimy na papierze — wydruki, podpisy, segregatory. Potem nikt tego nie ogląda. E-learningowa platforma oszczędziłaby czas i dała lepszą kontrolę nad terminami."
Klienci pytaą o portal do śledzenia zamówień,"March 18, 2026 11:44 AM",Handlowy,SUG-19,Pomysł,,Katowice,"March 18, 2026 11:44 AM",Rosnące zapotrzebowanie klientów na śledzenie zamówień online. Redukcja połączeń przychodzących.,Pozytywny,Not started,Proces informowania klienta o statusie → portal self-service,,"Coraz więcej klientów pyta czy mogą sprawdzić status zamówienia online. Teraz muszą dzwonić, my sprawdzamy ręcznie. Prosta strona z trackingiem byłaby dużym plusem."
Dachy — brak kalkulatora materiałów online,"March 18, 2026 11:44 AM",Segment Dachy,SUG-29,Pomysł,,Gliwice,"March 18, 2026 11:44 AM",Propozycja kalkulatora materiałów dachowych online. Obecnie kalkulacje ręczne lub w Excelu.,Pozytywny,Not started,"Proces wyceny dachów → kalkulator online, integracja z cennikiem",,"Handlowcy w segmencie dachów liczą materiały na kartce lub w skomplikowanym Excelu. Prosty kalkulator online, gdzie wpisujesz wymiary dachu a on podaje listę materiałów, bardzo by pomógł."
Chaos z kluczami do wózków widłowych,"March 18, 2026 11:44 AM",Magazyn,SUG-24,Problem,,Oświęcim,"March 18, 2026 11:44 AM",Brak systemu zarządzania kluczami do wózków widłowych. 15-20 min tracone dziennie na szukanie.,Negatywny,Not started,Logistyka wewnętrzna → system wydawania i zwrotu kluczy do sprzętu,,"Klucze do wózków krążą — nikt nie wie kto je ma, nie ma systemu wydawania. Rano tracimy 15-20 minut na szukanie. Prosta tablica z haczykami i logowanie byłoby wystarczające."
Nowy system księgowy działa bardzo dobrze,"March 18, 2026 11:44 AM",Księgowość,SUG-23,Inne,,Centrala,"March 18, 2026 11:44 AM","Pozytywna ocena nowego systemu księgowego — szybsze rozliczenia, mniej błędów.",Pozytywny,Not started,Proces księgowy → monitorowanie efektów wdrożenia nowego systemu,,"Od kiedy przeszliśmy na nowy system księgowy, praca jest dużo łatwiejsza. Rozliczenia idą szybciej, mniej błędów. Dobrze, że firma zainwestowała w tę zmianę."
Faktury korygujące wymagają za dużo podpisów,"March 18, 2026 11:44 AM",Księgowość,SUG-26,Problem,,Katowice,"March 18, 2026 11:44 AM",Zbyt skomplikowany obieg akceptacji korekt faktur. 3 podpisy nawet przy niskich kwotach.,Negatywny,Not started,Obieg dokumentów księgowych → uproszczenie akceptacji korekt < 500 zł,,Każda korekta faktury wymaga trzech podpisów. Często czekam dwa dni bo ktoś jest na urlopie. Przy małych kwotach to absurd — korekta na 50 zł nie powinna wymagać tyle biurokracji.
Nowe szkolenia BHP są świetne,"March 18, 2026 11:45 AM",HR,SUG-34,Inne,,Oświęcim,"March 18, 2026 11:45 AM",Pozytywny feedback dot. nowego formatu szkoleń BHP (microlearning video).,Pozytywny,Not started,Szkolenia wewnętrzne → format microlearning,,Krótkie filmy zamiast wielogodzinnych prezentacji to strzał w dziesiątkę. Ludzie naprawdę słuchają i zapamiętują więcej. Więcej takich zmian!
Pomysł na chatbota wewnętrznego,"March 18, 2026 11:45 AM",IT,SUG-32,Pomysł,,Gliwice,"March 18, 2026 11:45 AM",Propozycja wewnętrznego chatbota FAQ z firmowej bazy wiedzy.,Pozytywny,Not started,Zarządzanie wiedzą → chatbot FAQ,,"Często pytamy się nawzajem o te same rzeczy — numer telefonu, lokalizacja formularza, kto odpowiada za temat. Prosty chatbot z bazy wiedzy rozwiązałby problem."
Podwójne wprowadzanie danych do ERP,"March 18, 2026 11:45 AM",Handlowy,SUG-30,Problem,,Katowice,"March 18, 2026 11:45 AM",Podwójne wprowadzanie tych samych danych zamówień do ERP i Excela. Sugestia unifikacji źródła danych.,Negatywny,Not started,Proces obsługi zamówień → auto-eksport z ERP do arkuszy,,"Dane z zamówień klientów wpisujemy ręcznie do ERP, a potem jeszcze raz do arkusza Excel dla handlowców. To podwójna praca, która zajmuje mi codziennie ok. godziny. Powinno być jedno źródło danych."
Raport miesięczny zabiera 3 dni pracy,"March 18, 2026 11:45 AM",Księgowość,SUG-35,Problem,,Centrala,"March 18, 2026 11:45 AM",Raport zarządczy wymaga 3 dni ręcznej pracy/mies. Głównie kopiowanie danych.,Negatywny,Not started,Raportowanie zarządcze → automatyczna agregacja,,Każdego miesiąca spędzam 3 dni na zbieraniu danych i składaniu raportu dla zarządu. Większość to kopiuj-wklej. Mogłoby być automatyczne.
Tablice na halach są nieaktualne,"March 18, 2026 11:45 AM",Segment Konstrukcji,SUG-36,Usprawnienie,,Dąbrowa Górnicza,"March 18, 2026 11:45 AM",Tablice informacyjne na halach nieaktualne. Propozycja digital signage.,Negatywny,Not started,Informacja na halach → digital signage,,"Na halach wiszą tablice z procedurami, ale połowa jest nieaktualna. Nikt nie aktualizuje bo to drukowane. Może ekrany cyfrowe?"
Reminder o kończących się certyfikatach,"March 18, 2026 11:45 AM",HR,SUG-37,Usprawnienie,,Tarnowskie Góry,"March 18, 2026 11:45 AM",Brak automatycznych przypomnień o wygasających certyfikatach. Ryzyko przeoczeń.,Neutralny,Not started,Zarządzanie certyfikatami → auto-powiadomienia,,Certyfikaty UDT i spawalnicze wygasły i nikt nie zauważył. Powinien być system powiadomień 30 dni przed wygaśnięciem.
Brak stanów magazynowych w czasie rzeczywistym,"March 18, 2026 11:45 AM",Magazyn,SUG-31,Problem,,Sosnowiec,"March 18, 2026 11:45 AM",Brak dostępu handlowców do stanów magazynowych w czasie rzeczywistym.,Negatywny,Not started,Zarządzanie stanami magazynowymi → dashboard stanów online,,"Handlowcy nie wiedzą ile towaru jest na magazynie. Muszą dzwonić do magazynu i pytać, co wydłuża czas obsługi klienta. Potrzebujemy podglądu stanów online."
Za dużo kanałów komunikacji projektowej,"March 18, 2026 11:45 AM",Operacyjny,SUG-33,Problem,,Katowice,"March 18, 2026 11:45 AM",Komunikacja projektowa rozproszona na wiele kanałów. Informacje się gubią.,Negatywny,Not started,Komunikacja projektowa → centralizacja kanałów,,"Informacje lecą mailem, Teams, SMS, czasem ktoś powie na korytarzu. Gubimy rzeczy. Potrzebujemy jednego kanału do komunikacji projektowej."
Wymiana sprzętu IT trwa miesiąc,"March 18, 2026 11:45 AM",IT,SUG-39,Problem,,Gliwice,"March 18, 2026 11:45 AM",Wymiana sprzętu IT trwa ponad miesiąc. Wpływ na produktywność.,Negatywny,Not started,Obsługa zgłoszeń IT → SLA wymiany sprzętu,,Zgłosiłem awarię laptopa miesiąc temu i dalej czekam. Pracuję na zapasowym który ledwo działa. Proces wymiany powinien być szybszy.
Klienci chcą śledzić zamówienia online,"March 18, 2026 11:45 AM",Handlowy,SUG-38,Pomysł,,Sosnowiec,"March 18, 2026 11:45 AM",Zapotrzebowanie klientów na śledzenie zamówień online. Brak funkcji vs konkurencja.,Pozytywny,Not started,Obsługa zamówień → panel klienta z trackingiem,,Coraz więcej klientów pyta o tracking zamówienia. Teraz muszą dzwonić. Konkurencja to już ma.
Problem z dostępem do systemu z dachów,"March 18, 2026 11:46 AM",Segment Dachy,SUG-45,Problem,,Katowice,"March 18, 2026 11:46 AM",Brak dostępu do systemu na budowach (słaby zasięg). Ręczne protokoły. Potrzeba trybu offline.,Negatywny,Not started,Obsługa protokolów budowlanych → aplikacja z trybem offline,,Na budowach nie mamy dostępu do systemu bo zasięg jest słaby. Protokoły musimy pisać ręcznie i dopiero w biurze wprowadzać do systemu. Tryb offline byłby rozwiązaniem.
Proces reklamacyjny jest za wolny,"March 18, 2026 11:46 AM",Handlowy,SUG-42,Problem,,Oświęcim,"March 18, 2026 11:46 AM",Proces reklamacyjny zbyt powolny i nieprzejrzysty. Brak śledzenia statusu reklamacji.,Negatywny,Not started,Proces reklamacyjny → system ticketowy z trackingiem,,"Reklamacja klienta krąży między działami tygodniami. Nikt nie wie kto aktualnie się nią zajmuje. Klient dzwoni co dwa dni i pyta o status, a my nie mamy co powiedzieć."
Excel jako baza klientów to porażka,"March 18, 2026 11:46 AM",Sprzedaż,SUG-48,Problem,,Gliwice,"March 18, 2026 11:46 AM",Współdzielony Excel jako CRM powoduje konflikty wersji i utratę danych.,Negatywny,Not started,Zarządzanie klientami → wdrożenie CRM,,"Nadal używamy Excela jako bazy klientów. Kilka osób edytuje ten sam plik, wersje się rozjeżdżają, dane się nadpisują. Potrzebujemy prawdziwego CRM."
Brak harmonogramu dostaw widocznego dla klientów,"March 18, 2026 11:46 AM",Handlowy,SUG-49,Usprawnienie,,Chrzanów,"March 18, 2026 11:46 AM",Brak widoczności harmonogramu dostaw dla klientów. Każde zapytanie wymaga ręcznej weryfikacji.,Neutralny,Not started,Harmonogram dostaw → panel klienta,,Klienci ciągle pytają kiedy dostaną towar. Nie mamy żadnego systemu który by im to pokazywał. Każde zapytanie to telefon do logistyki i ręczne sprawdzanie.
Można by zrobić newsletter wewnętrzny,"March 18, 2026 11:46 AM",Media,SUG-44,Pomysł,,Tarnowskie Góry,"March 18, 2026 11:46 AM",Propozycja miesięcznego newslettera wewnętrznego z informacjami z oddziałów.,Pozytywny,Not started,Komunikacja wewnętrzna → newsletter firmowy,,"Nie wiem co się dzieje w innych oddziałach. Fajnie byłoby dostać raz w miesiącu krótki newsletter co nowego, kto co osiągnął, jakie projekty się kończą. Budowałoby to poczucie wspólnoty."
Listy obecności nadal papierowe,"March 18, 2026 11:46 AM",HR,SUG-43,Usprawnienie,,Dąbrowa Górnicza,"March 18, 2026 11:46 AM",Papierowe listy obecności wymagają ręcznego przepisywania. Propozycja elektronicznej rejestracji.,Neutralny,Not started,Rejestracja czasu pracy → system elektroniczny,,W 2026 roku nadal podpisujemy listy obecności długopisem na kartce. Potem ktoś to przepisuje do systemu. Może czas na elektroniczny system rejestracji czasu pracy?
Super że mamy nowe wózki widłowe,"March 18, 2026 11:46 AM",Magazyn,SUG-41,Inne,,Chrzanów,"March 18, 2026 11:46 AM",Pozytywny feedback dot. nowych wózków widłowych. Poprawa warunków pracy na magazynie.,Pozytywny,Not started,n/d,,"Nowe wózki widłowe to naprawdę duża zmiana — cichsze, szybsze, lepiej się nimi manewruje. Chłopaki z magazynu są zadowoleni. Dobra decyzja!"
Brak szablonu oferty dla klientów,"March 18, 2026 11:46 AM",Handlowy,SUG-40,Usprawnienie,,Katowice,"March 18, 2026 11:46 AM",Brak ustandaryzowanego szablonu ofertowego. Każdy handlowiec tworzy oferty w innym formacie.,Negatywny,Not started,Proces tworzenia ofert → szablon + generator ofert,,"Każdy handlowiec robi oferty po swojemu — inny format, inne dane, inna kolejność. Klient dostaje od nas trzy oferty które wyglądają jakby były z trzech różnych firm. Potrzebujemy szablonu."
Dobrze działająca współpraca z Dobromira,"March 18, 2026 11:46 AM",Operacyjny,SUG-47,Inne,,Supermarket Dobromir,"March 18, 2026 11:46 AM",Pochwała za sprawne zrealizowanie dostawy. Wzór współpracy.,Pozytywny,Not started,n/d,,"Chciałem pochwalić zespół Supermarketu Dobromir za świetną współpracę przy ostatniej dostawie. Szybko, sprawnie, bez problemów. Tak to powinno wyglądać zawsze."
Zamówienia materiałów — za dużo podpisów,"March 18, 2026 11:46 AM",Magazyn,SUG-46,Problem,,Sosnowiec,"March 18, 2026 11:46 AM",Zbyt rozbudowany obieg akceptacji nawet dla drobnych zamówień. 4 podpisy na śruby za 200 zł.,Negatywny,Not started,Obieg zamówień → uproszczenie dla kwot < 500 zł,,Zamówienie na śruby za 200 zł musi przejść przez 4 osoby. Tydzień czekania na podpis kogoś kto jest na urlopie. Przy małych kwotach powinno to iść prościej.